concoct_spades_11_1_4	K01647
concoct_spades_11_181_2	K06290
concoct_spades_11_181_2	K06293
concoct_spades_11_181_2	K06312

concoct_spades_11_181_3	K06311
concoct_spades_11_183_1	K11749
concoct_spades_11_183_2	K00099
concoct_spades_11_183_3	K00981
concoct_spades_11_183_4	K00806
concoct_spades_11_183_6	K02838
concoct_spades_11_183_7	K09903
concoct_spades_11_184_3	K00821
concoct_spades_11_184_3	K09251

concoct_spades_11_185_1	K03520
concoct_spades_11_185_1	K07469
concoct_spades_11_185_1	K11177

concoct_spades_11_187_1	K02241
concoct_spades_11_187_3	K03088
concoct_spades_11_188_1	K03885
concoct_spades_11_188_2	K02051
concoct_spades_11_188_3	K03734
concoct_spades_11_188_4	K03734
concoct_spades_11_189_1	K07814
concoct_spades_11_189_2	K07137
concoct_spades_11_190_1	K00925
concoct_spades_11_190_2	K07040
concoct_spades_11_190_3	K02911
concoct_spades_11_190_5	K03621
concoct_spades_11_190_6	K00648
concoct_spades_11_191_3	K03406
concoct_spades_11_192_5	K03406
concoct_spades_11_193_1	K20989
concoct_spades_11_193_3	K01866
concoct_spades_11_194_1	K07258
concoct_spades_11_194_2	K05896
concoct_spades_11_194_3	K06024
concoct_spades_11_194_4	K01955
concoct_spades_11_194_5	K10206
concoct_spades_11_195_1	K05592
concoct_spades_11_197_1	K01868
concoct_spades_11_197_2	K03798
concoct_spades_11_198_2	K01662
concoct_spades_11_198_3	K01662
concoct_spades_11_198_4	K06442
concoct_spades_11_198_5	K03402
concoct_spades_11_200_1	K03696
concoct_spades_11_200_2	K19405
concoct_spades_11_200_3	K19411
concoct_spades_11_201_2	K02031
concoct_spades_11_201_2	K02032

concoct_spades_11_201_3	K02034
concoct_spades_11_201_3	K15586

concoct_spades_11_202_3	K04069
concoct_spades_11_202_4	K00198
concoct_spades_11_203_1	K09811
concoct_spades_11_203_2	K21471
concoct_spades_11_203_3	K03575
concoct_spades_11_203_4	K07462
concoct_spades_11_204_1	K01990
concoct_spades_11_204_2	K01992
concoct_spades_11_206_1	K00525
concoct_spades_11_206_2	K09765
concoct_spades_11_207_1	K09685
concoct_spades_11_207_2	K06412
concoct_spades_11_207_3	K04042
concoct_spades_11_207_4	K00948
concoct_spades_11_208_1	K01447
concoct_spades_11_209_2	K07497
concoct_spades_11_209_4	K07494
concoct_spades_11_210_1	K01596
concoct_spades_11_211_1	K02664
concoct_spades_11_211_2	K02663
concoct_spades_11_211_3	K02662
concoct_spades_11_211_4	K02654
concoct_spades_11_211_5	K02650
concoct_spades_11_211_6	K02653
concoct_spades_11_212_1	K01154
concoct_spades_11_212_2	K03427
concoct_spades_11_213_3	K01872
concoct_spades_11_214_1	K02033
concoct_spades_11_214_2	K02033
concoct_spades_11_214_3	K02035
concoct_spades_11_215_2	K16785
concoct_spades_11_215_3	K16785
concoct_spades_11_215_3	K16786
concoct_spades_11_215_3	K16787

concoct_spades_11_216_1	K00826
concoct_spades_11_216_4	K07462
concoct_spades_11_217_1	K00013
concoct_spades_11_217_2	K00765
concoct_spades_11_217_2	K02502

concoct_spades_11_217_3	K02502
concoct_spades_11_218_2	K03406
concoct_spades_11_219_1	K01929
concoct_spades_11_219_2	K01928
concoct_spades_11_219_3	K03587
concoct_spades_11_219_3	K08384

concoct_spades_11_220_2	K13572
concoct_spades_11_220_4	K02051
concoct_spades_11_222_3	K02123
concoct_spades_11_222_4	K02124
concoct_spades_11_223_1	K03406
concoct_spades_11_224_1	K06179
concoct_spades_11_224_2	K03100
concoct_spades_11_224_4	K00876
concoct_spades_11_226_1	K00833
concoct_spades_11_226_1	K03851
concoct_spades_11_226_1	K12256
concoct_spades_11_226_1	K15372

concoct_spades_11_226_2	K15515
concoct_spades_11_226_2	K18119

concoct_spades_11_227_3	K03798
concoct_spades_11_228_1	K02945
concoct_spades_11_228_1	K03527

concoct_spades_11_228_2	K00945
concoct_spades_11_228_4	K02226
concoct_spades_11_228_4	K22305

concoct_spades_11_229_1	K07171
concoct_spades_11_229_5	K06919
concoct_spades_11_230_1	K01464
concoct_spades_11_230_2	K00537
concoct_spades_11_230_2	K00619

concoct_spades_11_230_3	K01733
concoct_spades_11_231_2	K19076
concoct_spades_11_232_1	K06418
concoct_spades_11_232_1	K06419
concoct_spades_11_232_1	K06420
concoct_spades_11_232_1	K06421

concoct_spades_11_233_2	K03784
concoct_spades_11_233_3	K03664
concoct_spades_11_234_1	K06147
concoct_spades_11_234_2	K06147
concoct_spades_11_235_2	K06395
concoct_spades_11_235_3	K06394
concoct_spades_11_235_4	K06393
concoct_spades_11_235_5	K06392
concoct_spades_11_235_6	K06391
concoct_spades_11_235_7	K06390
concoct_spades_11_236_2	K22431
concoct_spades_11_236_4	K01026
concoct_spades_11_237_2	K01537
concoct_spades_11_238_1	K09989
concoct_spades_11_238_3	K00989
concoct_spades_11_238_3	K02428

concoct_spades_11_238_4	K02428
concoct_spades_11_239_1	K02028
concoct_spades_11_239_1	K10041

concoct_spades_11_239_2	K02029
concoct_spades_11_239_2	K02030

concoct_spades_11_239_3	K02030
concoct_spades_11_239_4	K22132
concoct_spades_11_240_2	K05837
concoct_spades_11_240_4	K00600
concoct_spades_11_241_1	K03892
concoct_spades_11_241_2	K00197
concoct_spades_11_241_4	K03325
concoct_spades_11_242_2	K03978
concoct_spades_11_242_3	K01338
concoct_spades_11_243_2	K03406
concoct_spades_11_245_2	K01893
concoct_spades_11_245_5	K02217
concoct_spades_11_246_1	K03273
concoct_spades_11_246_4	K00858
concoct_spades_11_246_5	K06177
concoct_spades_11_246_5	K06180

concoct_spades_11_247_1	K02470
concoct_spades_11_247_2	K02469
concoct_spades_11_248_1	K03086
concoct_spades_11_248_2	K03086
concoct_spades_11_248_4	K06967
concoct_spades_11_249_1	K07082
concoct_spades_11_249_3	K08303
concoct_spades_11_250_1	K03296
concoct_spades_11_250_3	K09764
concoct_spades_11_250_4	K10773
concoct_spades_11_251_1	K03074
concoct_spades_11_251_2	K03072
concoct_spades_11_251_2	K12257

concoct_spades_11_251_4	K06871
concoct_spades_11_252_1	K14441
concoct_spades_11_252_2	K03466
concoct_spades_11_252_3	K01358
concoct_spades_11_253_1	K03708
concoct_spades_11_253_2	K02355
concoct_spades_11_253_3	K02217
concoct_spades_11_254_2	K00286
concoct_spades_11_254_5	K03686
concoct_spades_11_255_1	K02520
concoct_spades_11_255_2	K02916
concoct_spades_11_255_3	K02887
concoct_spades_11_255_4	K03437
concoct_spades_11_256_1	K12573
concoct_spades_11_256_2	K15987
concoct_spades_11_257_2	K03411
concoct_spades_11_257_3	K03410
concoct_spades_11_257_4	K03408
concoct_spades_11_257_5	K03407
concoct_spades_11_258_1	K03790
concoct_spades_11_258_2	K03790
concoct_spades_11_260_1	K00335
concoct_spades_11_260_1	K18331
concoct_spades_11_260_1	K22339

concoct_spades_11_260_2	K00336
concoct_spades_11_260_2	K18332

concoct_spades_11_261_1	K07402
concoct_spades_11_261_4	K03702
concoct_spades_11_262_1	K01439
concoct_spades_11_263_3	K07090
concoct_spades_11_263_4	K07090
concoct_spades_11_263_5	K01738
concoct_spades_11_264_1	K05515
concoct_spades_11_264_2	K03571
concoct_spades_11_264_3	K03570
concoct_spades_11_264_4	K03569
concoct_spades_11_264_5	K03630
concoct_spades_11_265_1	K04486
concoct_spades_11_265_2	K01858
concoct_spades_11_265_3	K07281
concoct_spades_11_265_3	K07291

concoct_spades_11_266_1	K19701
concoct_spades_11_266_2	K00433
concoct_spades_11_266_2	K01055

concoct_spades_11_267_1	K03282
concoct_spades_11_268_1	K04096
concoct_spades_11_268_2	K03168
concoct_spades_11_269_2	K07139
concoct_spades_11_271_1	K13922
concoct_spades_11_271_1	K18119

concoct_spades_11_271_3	K03523
concoct_spades_11_272_3	K01262
concoct_spades_11_272_3	K01271

concoct_spades_11_272_4	K02356
concoct_spades_11_273_6	K02277
concoct_spades_11_274_1	K21405
concoct_spades_11_274_2	K00161
concoct_spades_11_274_2	K21416

concoct_spades_11_275_1	K00948
concoct_spades_11_275_2	K01056
concoct_spades_11_275_3	K03723
concoct_spades_11_277_2	K03522
concoct_spades_11_277_3	K03521
concoct_spades_11_278_1	K03695
concoct_spades_11_278_1	K03696

concoct_spades_11_278_2	K15635
concoct_spades_11_278_3	K00872
concoct_spades_11_279_1	K07576
concoct_spades_11_281_1	K01929
concoct_spades_11_281_2	K01000
concoct_spades_11_281_3	K01925
concoct_spades_11_282_3	K07240
concoct_spades_11_282_4	K07240
concoct_spades_11_285_1	K07584
concoct_spades_11_285_2	K02888
concoct_spades_11_285_3	K08301
concoct_spades_11_286_1	K03589
concoct_spades_11_286_2	K00790
concoct_spades_11_286_3	K02563
concoct_spades_11_287_1	K02400
concoct_spades_11_287_2	K02404
concoct_spades_11_288_3	K06206
concoct_spades_11_289_1	K06295
concoct_spades_11_289_3	K06312
concoct_spades_11_290_3	K16203
concoct_spades_11_290_4	K02348
concoct_spades_11_291_1	K05366
concoct_spades_11_291_2	K11928
concoct_spades_11_292_2	K13010
concoct_spades_11_292_3	K01709
concoct_spades_11_292_3	K01710

concoct_spades_11_293_5	K01972
concoct_spades_11_294_1	K01914
concoct_spades_11_294_2	K02030
concoct_spades_11_294_3	K02029
concoct_spades_11_294_4	K02028
concoct_spades_11_296_1	K01520
concoct_spades_11_297_1	K00833
concoct_spades_11_297_1	K03851
concoct_spades_11_297_1	K12256
concoct_spades_11_297_1	K15372

concoct_spades_11_297_2	K01428
concoct_spades_11_297_3	K01428
concoct_spades_11_297_4	K01429
concoct_spades_11_297_5	K01430
concoct_spades_11_300_3	K07478
concoct_spades_11_301_1	K00763
concoct_spades_11_301_2	K08309
concoct_spades_11_301_3	K00859
concoct_spades_11_301_4	K02335
concoct_spades_11_302_1	K04083
concoct_spades_11_302_2	K03704
concoct_spades_11_302_4	K12410
concoct_spades_11_303_3	K09000
concoct_spades_11_304_1	K19114
concoct_spades_11_304_2	K19091
concoct_spades_11_305_1	K16788
concoct_spades_11_306_1	K01874
concoct_spades_11_306_2	K03406
concoct_spades_11_307_1	K06396
concoct_spades_11_307_2	K06397
concoct_spades_11_307_6	K03625
concoct_spades_11_308_1	K07027
concoct_spades_11_308_2	K17103
concoct_spades_11_309_2	K02825
concoct_spades_11_309_3	K06180
concoct_spades_11_311_2	K17758
concoct_spades_11_311_2	K17759

concoct_spades_11_311_3	K00997
concoct_spades_11_312_3	K19424
concoct_spades_11_313_1	K03090
concoct_spades_11_313_1	K03091

concoct_spades_11_313_2	K04757
concoct_spades_11_313_3	K04749
concoct_spades_11_313_4	K02469
concoct_spades_11_314_1	K00969
concoct_spades_11_314_2	K07574
concoct_spades_11_314_3	K03979
concoct_spades_11_314_4	K02899
concoct_spades_11_316_2	K00919
concoct_spades_11_317_1	K09729
concoct_spades_11_317_2	K06973
concoct_spades_11_317_3	K03500
concoct_spades_11_318_1	K02358
concoct_spades_11_318_2	K02355
concoct_spades_11_318_3	K02992
concoct_spades_11_320_1	K11754
concoct_spades_11_320_2	K01873
concoct_spades_11_323_1	K11623
concoct_spades_11_324_1	K00984
concoct_spades_11_324_2	K11936
concoct_spades_11_324_3	K11936
concoct_spades_11_325_1	K03695
concoct_spades_11_325_1	K03696

concoct_spades_11_326_1	K03685
concoct_spades_11_326_3	K03529
concoct_spades_11_327_3	K07560
concoct_spades_11_327_4	K00951
concoct_spades_11_328_1	K02446
concoct_spades_11_328_2	K00616
concoct_spades_11_329_4	K06312
concoct_spades_11_330_2	K03088
concoct_spades_11_331_2	K03088
concoct_spades_11_333_1	K02123
concoct_spades_11_333_2	K02119
concoct_spades_11_334_2	K12410
concoct_spades_11_334_3	K07281
concoct_spades_11_334_3	K07291

concoct_spades_11_336_1	K05772
concoct_spades_11_336_2	K05773
concoct_spades_11_336_3	K06857
concoct_spades_11_336_4	K06857
concoct_spades_11_336_5	K03750
concoct_spades_11_337_1	K06213
concoct_spades_11_338_1	K02313
concoct_spades_11_338_2	K02338
concoct_spades_11_339_1	K03631
concoct_spades_11_339_2	K06399
concoct_spades_11_339_3	K07699
concoct_spades_11_341_1	K02340
concoct_spades_11_341_2	K02968
concoct_spades_11_341_3	K06012
concoct_spades_11_342_1	K02834
concoct_spades_11_342_2	K02519
concoct_spades_11_343_1	K08591
concoct_spades_11_343_2	K00057
concoct_spades_11_343_4	K07171
concoct_spades_11_344_1	K03823
concoct_spades_11_344_3	K00598
concoct_spades_11_345_1	K01696
concoct_spades_11_345_1	K06001

concoct_spades_11_345_2	K01071
concoct_spades_11_346_3	K00954
concoct_spades_11_348_2	K01990
concoct_spades_11_349_1	K07315
concoct_spades_11_349_3	K04564
concoct_spades_11_351_1	K06898
concoct_spades_11_351_2	K06864
concoct_spades_11_351_3	K01464
concoct_spades_11_352_2	K04759
concoct_spades_11_352_3	K04758
concoct_spades_11_353_1	K12574
concoct_spades_11_353_2	K03711
concoct_spades_11_354_1	K09936
concoct_spades_11_354_3	K03697
concoct_spades_11_355_1	K01990
concoct_spades_11_356_1	K01869
concoct_spades_11_356_2	K09710
concoct_spades_11_359_1	K14540
concoct_spades_11_359_2	K03470
concoct_spades_11_361_1	K03217
concoct_spades_11_361_2	K06346
concoct_spades_11_361_3	K03650
concoct_spades_11_362_2	K09527
concoct_spades_11_364_2	K06306
concoct_spades_11_364_3	K06872
concoct_spades_11_365_1	K06131
concoct_spades_11_366_4	K10206
concoct_spades_11_367_2	K01515
concoct_spades_11_367_2	K03574

concoct_spades_11_367_3	K01624
concoct_spades_11_368_1	K08591
concoct_spades_11_368_2	K03977
concoct_spades_11_370_1	K02652
concoct_spades_11_370_2	K02669
concoct_spades_11_372_1	K03716
concoct_spades_11_372_2	K05516
concoct_spades_11_373_1	K05571
concoct_spades_11_373_2	K05570
concoct_spades_11_373_3	K05569
concoct_spades_11_373_4	K19221
concoct_spades_11_373_5	K00567
concoct_spades_11_374_2	K07035
concoct_spades_11_375_1	K01915
concoct_spades_11_377_1	K03296
concoct_spades_11_378_2	K01142
concoct_spades_11_378_3	K03744
concoct_spades_11_378_4	K06872
concoct_spades_11_379_1	K02992
concoct_spades_11_379_2	K02950
concoct_spades_11_379_3	K07590
concoct_spades_11_379_4	K03046
concoct_spades_11_380_2	K07029
concoct_spades_11_381_2	K03308
concoct_spades_11_382_2	K03091
concoct_spades_11_382_4	K03091
concoct_spades_11_383_1	K09458
concoct_spades_11_383_2	K00059
concoct_spades_11_383_3	K00645
concoct_spades_11_383_4	K00648
concoct_spades_11_384_1	K00805
concoct_spades_11_384_2	K09940
concoct_spades_11_384_4	K06714
concoct_spades_11_385_1	K04488
concoct_spades_11_385_2	K04487
concoct_spades_11_386_1	K22226
concoct_spades_11_387_3	K20989
concoct_spades_11_388_1	K03688
concoct_spades_11_388_2	K00759
concoct_spades_11_389_1	K06409
concoct_spades_11_390_1	K03704
concoct_spades_11_390_2	K02050
concoct_spades_11_390_3	K02050
concoct_spades_11_390_4	K02049
concoct_spades_11_391_2	K03980
concoct_spades_11_392_1	K03602
concoct_spades_11_392_2	K13789
concoct_spades_11_392_3	K09775
concoct_spades_11_393_3	K03406
concoct_spades_11_396_2	K21636
concoct_spades_11_397_1	K03657
concoct_spades_11_398_1	K00949
concoct_spades_11_398_2	K01783
concoct_spades_11_398_3	K06949
concoct_spades_11_401_1	K03406
concoct_spades_11_401_2	K03406
concoct_spades_11_401_3	K03406
concoct_spades_11_402_1	K01153
concoct_spades_11_404_1	K05568
concoct_spades_11_404_1	K12141

concoct_spades_11_404_2	K05567
concoct_spades_11_404_3	K05566
concoct_spades_11_404_4	K05566
concoct_spades_11_405_2	K06878
concoct_spades_11_405_3	K19302
concoct_spades_11_406_1	K03073
concoct_spades_11_406_2	K02913
concoct_spades_11_406_3	K02358
concoct_spades_11_407_1	K09770
concoct_spades_11_408_1	K02337
concoct_spades_11_408_1	K14162

concoct_spades_11_408_4	K11184
concoct_spades_11_408_4	K11189

concoct_spades_11_408_5	K09762
concoct_spades_11_409_3	K01083
concoct_spades_11_409_3	K01224
concoct_spades_11_409_3	K07004
concoct_spades_11_409_3	K07156

concoct_spades_11_409_4	K01083
concoct_spades_11_409_4	K01224
concoct_spades_11_409_4	K07004
concoct_spades_11_409_4	K07156

concoct_spades_11_412_1	K00791
concoct_spades_11_412_2	K03666
concoct_spades_11_415_1	K06178
concoct_spades_11_415_1	K06183

concoct_spades_11_416_2	K01138
concoct_spades_11_417_1	K03307
concoct_spades_11_417_1	K11928

concoct_spades_11_418_1	K07052
concoct_spades_11_419_2	K00198
concoct_spades_11_420_1	K02483
concoct_spades_11_420_1	K07658
concoct_spades_11_420_1	K07668

concoct_spades_11_420_2	K05810
concoct_spades_11_420_3	K07738
concoct_spades_11_421_2	K07173
concoct_spades_11_422_1	K11754
concoct_spades_11_422_2	K01586
concoct_spades_11_423_1	K03723
concoct_spades_11_423_2	K07533
concoct_spades_11_423_3	K04769
concoct_spades_11_424_1	K01464
concoct_spades_11_424_2	K04564
concoct_spades_11_425_2	K01897
concoct_spades_11_427_1	K02407
concoct_spades_11_428_1	K16785
concoct_spades_11_428_1	K16786
concoct_spades_11_428_1	K16787

concoct_spades_11_428_2	K16927
concoct_spades_11_428_3	K01945
concoct_spades_11_429_1	K06338
concoct_spades_11_430_1	K00627
concoct_spades_11_430_2	K00162
concoct_spades_11_430_2	K21417

concoct_spades_11_430_3	K00161
concoct_spades_11_430_3	K21416

concoct_spades_11_431_1	K22227
concoct_spades_11_432_2	K07816
concoct_spades_11_433_2	K12574
concoct_spades_11_435_1	K12132
concoct_spades_11_435_2	K20074
concoct_spades_11_436_2	K02946
concoct_spades_11_436_3	K02906
concoct_spades_11_436_4	K02926
concoct_spades_11_439_1	K03457
concoct_spades_11_440_1	K06409
concoct_spades_11_440_2	K02428
concoct_spades_11_440_2	K02499

concoct_spades_11_441_2	K07216
concoct_spades_11_443_1	K02237
concoct_spades_11_443_2	K06416
concoct_spades_11_443_3	K07053
concoct_spades_11_444_1	K04043
concoct_spades_11_444_2	K03686
concoct_spades_11_444_2	K05516

concoct_spades_11_445_2	K02401
concoct_spades_11_445_2	K13820

concoct_spades_11_445_3	K02400
concoct_spades_11_447_1	K07444
concoct_spades_11_448_1	K11753
concoct_spades_11_448_2	K03177
concoct_spades_11_448_3	K06881
concoct_spades_11_449_1	K01153
concoct_spades_11_449_2	K01154
concoct_spades_11_449_3	K03427
concoct_spades_11_450_2	K07171
concoct_spades_11_451_1	K03307
concoct_spades_11_451_1	K11928

concoct_spades_11_451_2	K03406
concoct_spades_11_453_1	K03092
concoct_spades_11_453_2	K03324
concoct_spades_11_454_1	K03522
concoct_spades_11_454_1	K22432

concoct_spades_11_455_1	K03885
concoct_spades_11_456_1	K03705
concoct_spades_11_457_1	K02563
concoct_spades_11_457_2	K03588
concoct_spades_11_457_3	K01925
concoct_spades_11_458_1	K18346
concoct_spades_11_458_2	K09766
concoct_spades_11_459_1	K09118
concoct_spades_11_460_1	K00857
concoct_spades_11_462_1	K02396
concoct_spades_11_462_2	K02397
concoct_spades_11_463_3	K01928
concoct_spades_11_465_1	K07460
concoct_spades_11_465_2	K07391
concoct_spades_11_466_2	K02990
concoct_spades_11_466_3	K03111
concoct_spades_11_466_4	K02963
concoct_spades_11_466_5	K00290
concoct_spades_11_467_1	K04079
concoct_spades_11_468_1	K00764
concoct_spades_11_468_2	K01588
concoct_spades_11_468_3	K06901
concoct_spades_11_469_1	K09787
concoct_spades_11_469_2	K03106
concoct_spades_11_471_1	K03655
concoct_spades_11_472_2	K20971
concoct_spades_11_474_1	K03088
concoct_spades_11_474_3	K13653
concoct_spades_11_475_1	K01934
concoct_spades_11_475_2	K09812
concoct_spades_11_475_3	K09811
concoct_spades_11_476_1	K03742
concoct_spades_11_476_1	K03743

concoct_spades_11_476_2	K00995
concoct_spades_11_476_2	K08744

concoct_spades_11_477_2	K09777
concoct_spades_11_477_3	K00942
concoct_spades_11_478_1	K06383
concoct_spades_11_478_2	K03531
concoct_spades_11_479_2	K09773
concoct_spades_11_479_3	K01006
concoct_spades_11_482_1	K06871
concoct_spades_11_482_2	K06137
concoct_spades_11_482_2	K06138

concoct_spades_11_483_1	K03406
concoct_spades_11_483_4	K07452
concoct_spades_11_484_1	K01647
concoct_spades_11_487_1	K03763
concoct_spades_11_489_2	K06969
concoct_spades_11_490_2	K20989
concoct_spades_11_491_1	K07316
concoct_spades_11_492_3	K07507
concoct_spades_11_494_2	K00931
concoct_spades_11_495_1	K02956
concoct_spades_11_495_2	K00962
concoct_spades_11_497_2	K02406
concoct_spades_11_498_1	K06310
concoct_spades_11_499_2	K06381
concoct_spades_11_500_1	K05515
concoct_spades_11_501_2	K03596
concoct_spades_11_502_1	K01596
concoct_spades_11_503_2	K02122
concoct_spades_11_503_3	K02124
concoct_spades_11_503_4	K02123
concoct_spades_11_505_1	K01952
concoct_spades_11_506_1	K01952
concoct_spades_11_507_1	K03624
concoct_spades_11_507_2	K02897
concoct_spades_11_510_1	K02357
concoct_spades_11_510_2	K02967
