99980 Enzymes with EC numbers
K00046 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K00344 qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]
K00359 qorA; NADPH:quinone reductase [EC:1.6.5.5]
K23948 E1.6.5.9; NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
K03923 mdaB; NADPH dehydrogenase (quinone) [EC:1.6.5.10]
K00354 E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]
K11167 DHRS7C; dehydrogenase/reductase SDR family member 7C [EC:1.1.-.-]
K11168 DHRS12; dehydrogenase/reductase SDR family member 12 [EC:1.1.-.-]
K11169 DHRS13; dehydrogenase/reductase SDR family member 13 [EC:1.1.-.-]
K11170 DHRSX; dehydrogenase/reductase SDR family member X [EC:1.1.-.-]
K23107 yajO; 1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]
K25787 HSD17B13; hydroxysteroid 17beta dehydrogenase 13 [EC:1.1.-.-]
K21682 PNO; pyruvate dehydrogenase (NADP+) [EC:1.2.1.51]
K00154 E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K14330 K14330; fatty aldehyde-generating acyl-ACP reductase [EC:1.2.1.80]
K20548 ahgd; 3,6-anhydro-alpha-L-galactose dehydrogenase [EC:1.2.1.92]
K20928 mpdC; 2-hydroxy-2-methylpropanal dehydrogenase [EC:1.2.1.98]
K00155 LNAA, LNBA; L-tyrosine reductase [EC:1.2.1.101]
K25224 gapdh; glyceraldehyde-3-phosphate dehydrogenase (arsenate-transferring) [EC:1.2.1.107]
K18601 K18601; aldehyde dehydrogenase [EC:1.2.1.-]
K23463 tgnC; (Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase [EC:1.2.1.-]
K20929 GLX; glyoxal/methylglyoxal oxidase [EC:1.2.3.15]
K03518 coxS; aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
K03519 coxM, cutM; aerobic carbon-monoxide dehydrogenase medium subunit [EC:1.2.5.3]
K03520 coxL, cutL; aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]
K00179 iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180 iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K04090 E1.2.7.8; indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
K19070 oorA; oxalate oxidoreductase subunit alpha [EC:1.2.7.10]
K19071 oorB; oxalate oxidoreductase subunit beta [EC:1.2.7.10]
K19072 oorD; oxalate oxidoreductase subunit delta [EC:1.2.7.10]
K07469 mop; aldehyde oxidoreductase [EC:1.2.99.7]
K14728 K14728; phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase [EC:1.2.-.-]
K22419 VEP1; Delta4-3-oxosteroid 5beta-reductase [EC:1.3.1.3]
K00219 fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K08070 E1.3.1.74; 2-alkenal reductase [EC:1.3.1.74]
K21838 DBR2; artemisinic aldehyde Delta11(13)-reductase [EC:1.3.1.92]
K21149 SSL-2; botryococcus squalene synthase [EC:1.3.1.96]
K21150 SSL-3; botryococcene synthase [EC:1.3.1.97]
K19825 DBR; 2-alkenal reductase (NADP+) [EC:1.3.1.102]
K21839 caa43; 2-haloacrylate reductase [EC:1.3.1.103]
K18980 EO, FaQR; 2-methylene-furan-3-one reductase [EC:1.3.1.105]
K20145 SARED1; sanguinarine reductase [EC:1.3.1.107]
K22430 carC; caffeyl-CoA reductase-Etf complex subunit CarC [EC:1.3.1.108]
K22431 carD; caffeyl-CoA reductase-Etf complex subunit CarD [EC:1.3.1.108]
K22432 carE; caffeyl-CoA reductase-Etf complex subunit CarE [EC:1.3.1.108]
K21102 ANR; anthocyanidin reductase [(2S)-flavan-3-ol-forming] [EC:1.3.1.112]
K22462 bprA; (4-alkanoyl-5-oxo-2,5-dihydrofuran-3-yl)methyl phosphate reductase [EC:1.3.1.113]
K23738 chcA; cyclohexane-1-carbonyl-CoA reductase (NADP+) [EC:1.3.1.120]
K24002 cmlC, papC; 4-amino-4-deoxyprephenate dehydrogenase [EC:1.3.1.121]
K23968 AmiISY; 8-oxogeranial reductase [EC:1.3.1.123]
K13236 DECR1; 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]
K27180 K27180; 2-epi-5-epi-valiolone dehydrogenase / demethylgadusol O-methyltransferase [EC:1.3.1.126 2.1.1.391]
K00258 SWNR; swainsonine biosynthesis oxidoreductase SwnR [EC:1.3.1.-]
K23050 PCBER1; phenylcoumaran benzylic ether reductase [EC:1.3.1.-]
K23065 SWNN; swainsonine biosynthesis oxidoreductase SwnN [EC:1.3.1.-]
K23256 curA; NADPH-dependent curcumin reductase [EC:1.3.1.-]
K24219 TECRL; trans-2,3-enoyl-CoA reductase-like [EC:1.3.1.-]
K06137 pqqC; pyrroloquinoline-quinone synthase [EC:1.3.3.11]
K21375 albA; albonoursin synthase [EC:1.3.3.13]
K05897 patGox; oxazoline/thiazoline dehydrogenase [EC:1.3.3.16]
K25759 iaaF; benzylmalonyl-CoA dehydrogenase [EC:1.3.3.17]
K08297 caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]
K24016 acdA; 3-(aryl)acrylate reductase [EC:1.3.8.15]
K18561 FRD; FAD-dependent fumarate reductase [EC:1.3.8.-]
K24696 mftC; [mycofactocin precursor peptide]-tyrosine decarboxylase / 3-amino-5-[(4-hydroxyphenyl)methyl]-4,4-dimethylpyrrolidin-2-one synthase [EC:1.3.98.7 4.1.99.26]
K07302 iorA; isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]
K07303 iorB; isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]
K21818 cypD; cypemycin cysteine dehydrogenase (decarboxylating) [EC:1.3.99.36]
K21401 menJ; menaquinone-9 beta-reductase [EC:1.3.99.38]
K00257 mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]
K18244 mmgC; acyl-CoA dehydrogenase [EC:1.3.99.-]
K22818 fadE26; 3-oxocholest-4-en-26-oyl-CoA dehydrogenase alpha subunit [EC:1.3.99.-]
K22819 fadE27; 3-oxocholest-4-en-26-oyl-CoA dehydrogenase beta subunit [EC:1.3.99.-]
K22820 fadE34; 3-oxochol-4-en-24-oyl-CoA dehydrogenase [EC:1.3.99.-]
K22821 fadE28; 3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase alpha subunit [EC:1.3.99.-]
K22822 fadE29; 3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase beta subunit [EC:1.3.99.-]
K25950 amdH; secondary-alkyl amine dehydrogenase [NAD(P)+] [EC:1.4.1.28]
K00277 LOX; protein-lysine 6-oxidase [EC:1.4.3.13]
K17831 lodA; L-lysine 6-oxidase [EC:1.4.3.20]
K24693 mftD; pre-mycofactocin synthase [EC:1.4.3.26]
K26346 HSO; homospermidine oxidase [EC:1.4.3.27]
K00280 LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K14678 LOXL1; lysyl oxidase-like protein 1 [EC:1.4.3.-]
K05300 K05300; L-amino acid dehydrogenase [EC:1.4.5.-]
K23235 TADH; tauropine dehydrogenase [EC:1.5.1.23]
K00298 ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
K04940 odh; opine dehydrogenase [EC:1.5.1.28]
K06988 fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
K19809 RIR; 2-methyl-1-pyrroline reductase [EC:1.5.1.48]
K17833 FAP2; L-saccharopine oxidase [EC:1.5.3.18]
K19817 fprA; coenzyme F420H2 oxidase [EC:1.5.3.22]
K25951 K25951; fructosyl amine oxidase (glucosone-forming) [EC:1.5.3.25]
K25952 socD; fructosyl amine oxidase (glucosone-forming) [EC:1.5.3.25]
K02846 solA; N-methyl-L-tryptophan oxidase [EC:1.5.3.-]
K22551 hpbA; N-methyl-L-proline demethylase [EC:1.5.3.-]
K00311 ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K22162 fpoF; F420H2 dehydrogenase subunit F [EC:1.5.7.2 1.5.98.3]
K22158 fpoA; F420H2 dehydrogenase subunit A [EC:1.5.98.3]
K22159 fpoB; F420H2 dehydrogenase subunit B [EC:1.5.98.3]
K22160 fpoC; F420H2 dehydrogenase subunit C [EC:1.5.98.3]
K22161 fpoD; F420H2 dehydrogenase subunit D [EC:1.5.98.3]
K22163 fpoH; F420H2 dehydrogenase subunit H [EC:1.5.98.3]
K22164 fpoI; F420H2 dehydrogenase subunit I [EC:1.5.98.3]
K22165 fpoJ; F420H2 dehydrogenase subunit J [EC:1.5.98.3]
K22166 fpoK; F420H2 dehydrogenase subunit K [EC:1.5.98.3]
K22167 fpoL; F420H2 dehydrogenase subunit L [EC:1.5.98.3]
K22168 fpoM; F420H2 dehydrogenase subunit M [EC:1.5.98.3]
K22169 fpoN; F420H2 dehydrogenase subunit N [EC:1.5.98.3]
K22170 fpoO; F420H2 dehydrogenase subunit O [EC:1.5.98.3]
K00327 POR; NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
K17870 nox1; NADH oxidase (H2O2-forming) [EC:1.6.3.3]
K17869 nox2; NADH oxidase (H2O-forming) [EC:1.6.3.4]
K22405 fprA1_2; NADH oxidase (H2O-forming) [EC:1.6.3.4]
K18208 RNLS; renalase [EC:1.6.3.5]
K23842 lpdA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K00344 qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]
K00359 qorA; NADPH:quinone reductase [EC:1.6.5.5]
K23948 E1.6.5.9; NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
K03923 mdaB; NADPH dehydrogenase (quinone) [EC:1.6.5.10]
K00354 E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]
K16908 CRR1; chloroplast NAD(P)H dehydrogenase [EC:1.6.99.-]
K03206 azr; azobenzene reductase [EC:1.7.1.6]
K01118 acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]
K00378 hox; hydroxylamine oxidase [EC:1.7.2.9]
K22962 NP7; nitrite dismutase [EC:1.7.6.1]
K22364 xecC; 2-oxopropyl-CoM reductase (carboxylating) [EC:1.8.1.5]
K23870 QUA2, TSD2; putative pectin methyltransferase [EC:2.1.1.-]
K23871 CGR; putative pectin methylesterase [EC:2.1.1.-]
K23872 QUA3; putative homogalacturonan methyltransferase [EC:2.1.1.-]
K24419 METTL27; methyltransferase-like protein 27 [EC:2.1.1.-]
K26590 umaA; mycolic acid methyltransferase UmaA [EC:2.1.1.-]
K26594 mmaA1; mycolic acid methyltransferase MmaA1 [EC:2.1.1.-]
K13252 ptcA; putrescine carbamoyltransferase [EC:2.1.3.6]
K13043 argF; N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11]
K00612 nodU; carbamoyltransferase [EC:2.1.3.-]
K22578 sesA; sesamin methylene transferase [EC:2.1.5.1]
K11941 mdoC; glucans biosynthesis protein C [EC:2.1.-.-]
K18847 E2.2.1.8; fluorothreonine transaldolase [EC:2.2.1.8]
K00617 sftT; 6-deoxy-6-sulfo-D-fructose transaldolase [EC:2.2.1.14]
K00628 GLYAT; glycine N-acyltransferase / glycine N-benzoyltransferase [EC:2.3.1.13 2.3.1.71]
K22749 GLYATL2; glycine N-acyltransferase [EC:2.3.1.13]
K00633 lacA; galactoside O-acetyltransferase [EC:2.3.1.18]
K22888 HISAT; histidine N-acetyltransferase [EC:2.3.1.33]
K13935 mdcH; malonate decarboxylase epsilon subunit [EC:2.3.1.39]
K03377 CASD1; N-acetylneuraminate 9-O-acetyltransferase [EC:2.3.1.45]
K22441 paiA; diamine N-acetyltransferase [EC:2.3.1.57]
K22442 GLYATL1; glutamine N-acyltransferase [EC:2.3.1.68]
K11171 DGAT2L3, AWAT1; diacylglycerol O-acyltransferase 2-like protein 3 [EC:2.3.1.75]
K00661 maa; maltose O-acetyltransferase [EC:2.3.1.79]
K00664 ATF; alcohol O-acetyltransferase [EC:2.3.1.84]
K00671 NMT; glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]
K22246 THT; tyramine N-feruloyltransferase [EC:2.3.1.110]
K00675 nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]
K22247 neuO; polysialic-acid O-acetyltransferase [EC:2.3.1.136]
K23277 HCBT; anthranilate N-benzoyltransferase [EC:2.3.1.144]
K15520 mshD; mycothiol synthase [EC:2.3.1.189]
K21378 nphT7; acetoacetyl-CoA synthase [EC:2.3.1.194]
K19861 BEBT, AMAT; benzyl alcohol O-benzoyltransferase [EC:2.3.1.196 2.3.1.232]
K16872 E2.3.1.207; beta-ketodecanoyl-[acyl-carrier-protein] synthase [EC:2.3.1.207]
K21380 BEAT; acetyl-CoA-benzylalcohol acetyltransferase [EC:2.3.1.224]
K18932 ZDHHC; palmitoyltransferase [EC:2.3.1.225]
K21381 aziB; 5-methylnaphthoic acid synthase [EC:2.3.1.236]
K20239 SDT; spermidine disinapoyl transferase [EC:2.3.1.248]
K20240 SCT; spermidine dicoumaroyl transferase [EC:2.3.1.249]
K21399 ortA; 2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263]
K21400 ortB; 2-amino-4-ketopentanoate thiolase beta subunit [EC:2.3.1.263]
K21935 ablB; beta-lysine N6-acetyltransferase [EC:2.3.1.264]
K22586 EAT1; ethanol O-acetyltransferase [EC:2.3.1.268]
K03820 lnt; apolipoprotein N-acyltransferase [EC:2.3.1.269]
K22617 olsA; lyso-ornithine lipid O-acyltransferase [EC:2.3.1.270]
K22838 phlA; 2-acetylphloroglucinol acetyltransferase [EC:2.3.1.272]
K22839 phlC; 2-acetylphloroglucinol acetyltransferase [EC:2.3.1.272]
K22840 phlB; 2-acetylphloroglucinol acetyltransferase [EC:2.3.1.272]
K22797 octT; diglucosylglycerate octanoyltransferase [EC:2.3.1.273]
K22463 afsA; 2-oxo-3-(phosphooxy)propyl 3-oxoalkanoate synthase [EC:2.3.1.277]
K23156 papA3; mycolipenoyl-CoA---2-(long-chain-fatty acyl)-trehalose mycolipenoyltransferase / long-chain-acyl-CoA---trehalose acyltransferase [EC:2.3.1.278 2.3.1.279]
K23414 papA5; phenolphthiocerol/phthiocerol/phthiodiolone dimycocerosyl transferase [EC:2.3.1.282]
K23415 papA1; 2'-acyl-2-O-sulfo-trehalose (hydroxy)phthioceranyltransferase [EC:2.3.1.283]
K23416 chp1; 3'-(hydroxy)phthioceranyl-2'-palmitoyl(stearoyl)-2-O-sulfo-trehalose (hydroxy)phthioceranyltransferase [EC:2.3.1.284]
K22795 papA2; 2-O-sulfo trehalose long-chain-acyltransferase [EC:2.3.1.288]
K16813 PNPLA1; omega-hydroxyceramide transacylase [EC:2.3.1.296]
K25042 HHT; hydroxycinnamoyl-CoA:5-hydroxyanthranilate N-hydroxycinnamoyltransferase [EC:2.3.1.302]
K25601 azpI; 6-diazo-5-oxo-L-norleucine Nalpha-acetyltranferase [EC:2.3.1.307]
K00680 ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]
K01043 SWNK; reducing polyketide synthase SwnK [EC:2.3.1.-]
K03824 yhbS; putative acetyltransferase [EC:2.3.1.-]
K03826 yiaC; putative acetyltransferase [EC:2.3.1.-]
K03827 yjaB; putative acetyltransferase [EC:2.3.1.-]
K03828 yjgM; putative acetyltransferase [EC:2.3.1.-]
K03829 yedL; putative acetyltransferase [EC:2.3.1.-]
K03830 yafP; putative acetyltransferase [EC:2.3.1.-]
K04766 acuA; acetoin utilization protein AcuA [EC:2.3.1.-]
K11172 DGAT2L6; diacylglycerol O-acyltransferase 2-like protein 6 [EC:2.3.1.-]
K14658 nodA; nodulation protein A [EC:2.3.1.-]
K14660 nodE; nodulation protein E [EC:2.3.1.-]
K14661 nodF; nodulation protein F [EC:2.3.1.-]
K19429 epsM; acetyltransferase EpsM [EC:2.3.1.-]
K19747 DCR; BAHD acyltransferase [EC:2.3.1.-]
K21992 mbtK; lysine N-acyltransferase [EC:2.3.1.-]
K22750 GLYATL3; glycine N-acyltransferase-like protein 3 [EC:2.3.1.-]
K22796 chp2; diacyltrehalose acyltransferase [EC:2.3.1.-]
K22883 NATA1; L-ornithine N5-acetyltransferase [EC:2.3.1.-]
K22884 SIDL; N5-hydroxyornithine acetyltransferase [EC:2.3.1.-]
K22885 K22885; dTDP-4-amino-4,6-dideoxyglucose formyltransferase [EC:2.3.1.-]
K22886 K22886; protein lysine acetyltransferase [EC:2.3.1.-]
K22889 AYT1, TRI101; trichothecene 3-O-acetyltransferase [EC:2.3.1.-]
K23278 HRASLS5; phosphatidylethanolamine N-acyltransferase [EC:2.3.1.-]
K24117 scmL; S-(2-succino)cysteine N-acetyltransferase [EC:2.3.1.-]
K24217 mnaT; L-amino acid N-acyltransferase [EC:2.3.1.-]
K22757 QCT, qpcT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
K00684 aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
K21419 ATEL1; arginyl-tRNA---protein transferase [EC:2.3.2.8]
K00686 tgl; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]
K05619 TGM1; transglutaminase 1 [EC:2.3.2.13]
K05620 TGM3; transglutaminase 3 [EC:2.3.2.13]
K05621 TGM4; transglutaminase 4 [EC:2.3.2.13]
K05622 TGM5; transglutaminase 5 [EC:2.3.2.13]
K05623 TGM7; transglutaminase 7 [EC:2.3.2.13]
K05624 TGM6; transglutaminase 6 [EC:2.3.2.13]
K22452 tgpA; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]
K05941 E2.3.2.15; glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15]
K21382 albC; cyclo(L-leucyl-L-phenylalanyl) synthase [EC:2.3.2.20]
K17484 E2.3.2.21; cyclo(L-tyrosyl-L-tyrosyl) synthase [EC:2.3.2.21]
K17485 yvmC; cyclo(L-leucyl-L-leucyl) synthase [EC:2.3.2.22]
K21420 bpt; leucyl-tRNA---protein transferase [EC:2.3.2.29]
K22310 olsB; L-ornithine Nalpha-acyltransferase [EC:2.3.2.30]
K19761 GGACT; gamma-glutamylaminecyclotransferase [EC:2.3.2.-]
K22317 oleA; acyl-CoA:acyl-CoA alkyltransferase [EC:2.3.3.20]
K21351 SST; sucrose:sucrose fructosyltransferase [EC:2.4.1.99]
K18820 agd31B; oligosaccharide 4-alpha-D-glucosyltransferase [EC:2.4.1.161]
K08235 E2.4.1.207; xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]
K15533 K15533; 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [EC:2.4.1.211]
K03692 E2.4.1.213; glucosylglycerol-phosphate synthase [EC:2.4.1.213]
K03731 E2.4.1.216; trehalose 6-phosphate phosphorylase [EC:2.4.1.216]
K10231 kojP; kojibiose phosphorylase [EC:2.4.1.230]
K22248 TP; alpha,alpha-trehalose phosphorylase (configuration-retaining) [EC:2.4.1.231]
K21352 FT1; 6(G)-fructosyltransferase [EC:2.4.1.243]
K13058 mfpsA; mannosylfructose-phosphate synthase [EC:2.4.1.246]
K15534 K15534; beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase [EC:2.4.1.247]
K21353 E2.4.1.248; cycloisomaltooligosaccharide glucanotransferase [EC:2.4.1.248]
K15521 mshA; D-inositol-3-phosphate glycosyltransferase [EC:2.4.1.250]
K21349 ggs; glucosylglycerate synthase [EC:2.4.1.268]
K18822 UGT73P2; soyasapogenol B glucuronide galactosyltransferase [EC:2.4.1.272]
K18823 UGT91H4; soyasaponin III rhamnosyltransferase [EC:2.4.1.273]
K18783 E2.4.1.279; nigerose phosphorylase [EC:2.4.1.279]
K16212 mgp; 4-O-beta-D-mannosyl-D-glucose phosphorylase [EC:2.4.1.281]
K18784 E2.4.1.282; 3-O-alpha-D-glucosyl-L-rhamnose phosphorylase [EC:2.4.1.282]
K18785 mp2; beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine phosphorylase [EC:2.4.1.319 2.4.1.320]
K20418 ido; L-isoleucine 4-hydroxylase [EC:1.14.11.45]
K23516 XAN1; xanthine dioxygenase [EC:1.14.11.48]
K25061 lipL; uridine-5'-phosphate dioxygenase [EC:1.14.11.49]
K10765 ALKBH1; alkylated DNA repair protein alkB homolog 1 [EC:1.14.11.51 4.2.99.18 1.14.11.-]
K10766 ALKBH4; DNA N6-methyl adenine demethylase [EC:1.14.11.51]
K21614 p4H; L-proline cis-4-hydroxylase [EC:1.14.11.56]
K21615 E1.14.11.57; L-proline 4-hydroxylase [EC:1.14.11.57]
K22616 olsC; ornithine lipid ester-linked acyl 2-hydroxylase [EC:1.14.11.58]
K24001 cyrI; 7-deoxycylindrospermopsin hydroxylase [EC:1.14.11.70]
K24291 tmpA; [2-(trimethylamino)ethyl]phosphonate dioxygenase [EC:1.14.11.72]
K24448 hilA; L-isoleucine 31-dioxygenase [EC:1.14.11.74]
K24449 hliB; 31-hydroxy-L-isoleucine 4-dioxygenase [EC:1.14.11.75]
K24701 IBOH; L-glutamate 3(R)-hydroxylase [EC:1.14.11.76]
K22303 atsK; alkyl sulfatase [EC:1.14.11.77]
K25987 scoE, mmaE; (R)-3-[(carboxymethyl)amino]fatty acid dioxygenase/decarboxylase [EC:1.14.11.78]
K26347 ASQJ; (-)-cyclopenine synthase [EC:1.14.11.81]
K07336 K07336; PKHD-type hydroxylase [EC:1.14.11.-]
K10768 ALKBH6; alkylated DNA repair protein alkB homolog 6 [EC:1.14.11.-]
K10769 ALKBH7; alkylated DNA repair protein alkB homolog 7 [EC:1.14.11.-]
K19245 JLP1; sulfonate dioxygenase [EC:1.14.11.-]
K23066 SWNH1_2; swainsonine biosynthesis dioxygenase SwnH1/2 [EC:1.14.11.-]
K24028 DMR6, DLO; salicylic acid 3-hydroxylase [EC:1.14.11.-]
K24029 OGFOD1, TPA1; prolyl 3-hydroxylase /prolyl 3,4-dihydroxylase [EC:1.14.11.-]
K05916 hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]
K23517 cpnB; cyclopentanone monooxygenase [EC:1.14.13.16]
K18229 PAMO; phenylacetone monooxygenase [EC:1.14.13.92]
K21376 aziB1; 5-methyl-1-naphthoate 3-hydroxylase [EC:1.14.13.189]
K10531 pvdA, SIDA; L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]
K21684 sdgC; salicyloyl-CoA 5-hydroxylase [EC:1.14.13.209]
K21280 sibG; 3-hydroxy-4-methylanthranilyl-[aryl-carrier protein] 5-monooxygenase [EC:1.14.13.223]
K21323 mdpJ; tert-butyl alcohol monooxygenase / tert-amyl alcohol desaturase [EC:1.14.13.229 1.14.19.48]
K22027 iacA; indole-3-acetate monooxygenase [EC:1.14.13.235]
K22324 GS-OX; aliphatic glucosinolate S-oxygenase [EC:1.14.13.237]
K22342 dmmA; dimethylamine monooxygenase subunit A [EC:1.14.13.238]
K22343 dmmB; dimethylamine monooxygenase subunit B [EC:1.14.13.238]
K22344 dmmC; dimethylamine monooxygenase subunit C [EC:1.14.13.238]
K22443 cntA; carnitine monooxygenase subunit [EC:1.14.13.239]
K22444 cntB; carnitine monooxygenase subunit [EC:1.14.13.239]
K23556 sdmA; 4beta-methylsterol monooxygenase [EC:1.14.13.246]
K24003 stc2, hpbB; stachydrine N-demethylase [EC:1.14.13.247]
K25564 sznF, stzF; nitrosourea synthase [EC:1.14.13.250]
K20147 ntaA, nmoA; nitrilotriacetate monooxygenase [EC:1.14.14.10]
K22219 dszC; dibenzothiophene monooxygenase [EC:1.14.14.21]
K22220 dszA; dibenzothiophene sulfone monooxygenase [EC:1.14.14.22]
K20938 ladA; long-chain alkane monooxygenase [EC:1.14.14.28]
K21281 vlmH; isobutylamine N-monooxygenase [EC:1.14.14.30]
K22691 DOX1; drimenol monooxygenase [EC:1.14.14.72]
K26058 smoC, squD; sulfoquinovose monooxygenase [EC:1.14.14.181]
K21720 T7H; taxoid 7beta-hydroxylase [EC:1.14.14.182]
K25953 E1.14.14.183; taxoid 2alpha-hydroxylase [EC:1.14.14.183]
K23319 ACLH; flavine halogenase [EC:1.14.14.-]
K23464 tgnB; flavin-dependent trigonelline monooxygenase, oxygenase component [EC:1.14.14.-]
K22325 cndA; chloroacetanilide N-alkylformylase [EC:1.14.15.23]
K23364 aurH; luteothin monooxygenase [EC:1.14.15.37]
K24702 pdmA; N,N-dimethyl phenylurea N-demethylase alpha subunit [EC:1.14.15.38]
K24703 pdmB; N,N-dimethyl phenylurea N-demethylase beta subunit [EC:1.14.15.38]
K15537 AGMO; alkylglycerol monooxygenase [EC:1.14.16.5]
K03393 pacX; phenylalanine 3-monooxygenase [EC:1.14.16.7]
K00504 PHM; peptidylglycine monooxygenase [EC:1.14.17.3]
K24006 PAM; peptidylglycine monooxygenase / peptidylamidoglycolate lyase [EC:1.14.17.3 4.3.2.5]
K21704 FAH12; phosphatidylcholine 12-monooxygenase [EC:1.14.18.4]
K19703 FA2H, SCS7; 4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase [EC:1.14.18.6]
K19706 FAH; dihydroceramide fatty acyl 2-hydroxylase [EC:1.14.18.7]
K24121 MPO1; 2-hydroxy fatty acid dioxygenase [EC:1.14.18.12]
K21732 SLD; acyl-lipid (11-3)-desaturase [EC:1.14.19.4]
K18247 DESN; Delta11-fatty-acid desaturase [EC:1.14.19.5]
K21705 E1.14.19.10; icosanoyl-CoA 5-desaturase [EC:1.14.19.10]
K21706 DES; acyl-lipid omega-(9-4) desaturase [EC:1.14.19.12]
K21707 DES3; acyl-CoA 15-desaturase [EC:1.14.19.13]
K21708 FADX; linoleoyl-lipid Delta9 conjugase [EC:1.14.19.14]
K21709 DESAT1; (11Z)-hexadec-11-enoyl-CoA conjugase [EC:1.14.19.15]
K21710 FAC; linoleoyl-lipid Delta12 conjugase (11E,13Z-forming) [EC:1.14.19.16]
K13076 SLD; sphingolipid 8-(E)-desaturase [EC:1.14.19.18]
K21733 DESA; sphingolipid 10-desaturase [EC:1.14.19.19]
K23036 desC2; sn-2 palmitoyl-lipid 9-desaturase [EC:1.14.19.27]
K23054 desC; sn-1 stearoyl-lipid 9-desaturase [EC:1.14.19.28]
K21734 SLD; sphingolipid 8-(E/Z)-desaturase [EC:1.14.19.29]
K21735 DES5; acyl-lipid (8-3)-desaturase [EC:1.14.19.30]
K21736 FADX; Delta12 acyl-lipid conjugase (11E,13E-forming) / acyl-lipid (9+3)-(E)-desaturase [EC:1.14.19.33 1.14.19.34]
K21737 ACET6, DES6; acyl-lipid Delta6-acetylenase / acyl-lipid (9-3)-desaturase [EC:1.14.19.38 1.14.19.47]
K20416 FAD5; palmitoyl-[glycerolipid] 7-desaturase [EC:1.14.19.42]
K20417 FAD4; palmitoyl-[glycerolipid] 3-(E)-desaturase [EC:1.14.19.43]
K05918 bmp5; 4-hydroxybenzoate brominase (decarboxylating) [EC:1.14.19.55]
K22712 pltA; 1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] chlorinase [EC:1.14.19.56]
K22692 bmp2; 1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] brominase [EC:1.14.19.57]
K22693 pyrH; tryptophan 5-halogenase [EC:1.14.19.58]
K22694 sttH; tryptophan 6-halogenase [EC:1.14.19.59]
K22695 ktzR; 7-chloro-L-tryptophan 6-halogenase [EC:1.14.19.60]
K22875 rtxC; dihydrorhizobitoxine desaturase [EC:1.14.19.61]
